Volume (mL),E(pH),,,,,,
0,1.3,,,,,,
0.01,1.297,,,,,,
0.048,1.295,,,,,,
0.123,1.294,,,,,,
0.274,1.295,,,,,,
0.575,1.3,,,,,,
0.975,1.321,,,,,,
1.375,1.338,,,,,,
1.775,1.348,,,,,,
2.175,1.376,,,,,,
2.575,1.387,,,,,,
2.975,1.405,,,,,,
3.375,1.428,,,,,,
3.775,1.459,,,,,,
4.175,1.483,,,,,,
4.575,1.498,,,,,,
4.975,1.533,,,,,,
5.375,1.551,,,,,,
5.775,1.592,,,,,,
6.175,1.622,,,,,,
6.575,1.655,,,,,,
6.975,1.688,,,,,,
7.375,1.726,,,,,,
7.775,1.759,,,,,,
8.175,1.815,,,,,,
8.575,1.865,,,,,,
8.975,1.921,,,,,,
9.375,1.985,,,,,,
9.775,2.063,,,,,,
10.175,2.159,,,,,,
10.575,2.272,,,,,,
10.975,2.436,,,,,,
11.375,2.704,,,,,,
11.473,2.809,,,,,,
11.628,2.998,,,Vol,11.838,22.743,17.2905
11.765,3.514,,,pH,5.072,11.244,9.231629
11.78,3.653,,,,,,
11.79,3.742,,,,,,
11.808,3.991,,,,,,
11.818,4.22,,,,,,
11.828,4.6,,,,,,
11.838,5.072,,,,,,
11.848,5.507,,,,,,
11.858,5.783,,,,,,
11.868,5.984,,,,,,
11.878,6.15,,,,,,
11.888,6.281,,,,,,
11.898,6.39,,,,,,
11.908,6.483,,,,,,
11.918,6.571,,,,,,
11.928,6.638,,,,,,
11.941,6.718,,,,,,
11.958,6.818,,,,,,
11.968,6.875,,,,,,
11.984,6.942,,,,,,
12.001,7.005,,,,,,
12.026,7.094,,,,,,
12.06,7.194,,,,,,
12.077,7.242,,,,,,
12.111,7.324,,,,,,
12.141,7.39,,,,,,
12.171,7.445,,,,,,
12.205,7.498,,,,,,
12.258,7.579,,,,,,
12.294,7.621,,,,,,
12.347,7.687,,,,,,
12.426,7.77,,,,,,
12.537,7.858,,,,,,
12.689,7.972,,,,,,
12.826,8.06,,,,,,
12.978,8.139,,,,,,
13.194,8.242,,,,,,
13.475,8.355,,,,,,
13.829,8.478,,,,,,
14.229,8.59,,,,,,
14.629,8.692,,,,,,
15.029,8.787,,,,,,
15.429,8.876,,,,,,
15.829,8.957,,,,,,
16.229,9.037,,,,,,
16.629,9.109,,,,,,
17.029,9.178,,,,,,
17.429,9.256,,,,,,
17.829,9.34,,,,,,
18.229,9.408,,,,,,
18.629,9.493,,,,,,
19.029,9.587,,,,,,
19.429,9.671,,,,,,
19.829,9.765,,,,,,
20,9.807,,,,,,
20.01,9.806,,,,,,
20.049,9.807,,,,,,
20.127,9.833,,,,,,
20.264,9.866,,,,,,
20.499,9.927,,,,,,
20.855,10.035,,,,,,
21.255,10.182,,,,,,
21.655,10.365,,,,,,
21.749,10.412,,,,,,
22.125,10.647,,,,,,
22.321,10.8,,,,,,
22.567,11.042,,,,,,
22.743,11.244,,,,,,
22.893,11.399,,,,,,
23.037,11.535,,,,,,
23.204,11.653,,,,,,
23.411,11.792,,,,,,
23.651,11.895,,,,,,
23.964,12.047,,,,,,
24.314,12.153,,,,,,
24.714,12.255,,,,,,
25.114,12.334,,,,,,
25.514,12.402,,,,,,
25.914,12.459,,,,,,
26.314,12.505,,,,,,
26.714,12.552,,,,,,
27.114,12.593,,,,,,
27.514,12.629,,,,,,
27.914,12.656,,,,,,
28.314,12.69,,,,,,
28.714,12.71,,,,,,
29.114,12.739,,,,,,
29.514,12.766,,,,,,
29.914,12.785,,,,,,
30.314,12.805,,,,,,
30.714,12.826,,,,,,
31.114,12.846,,,,,,
31.514,12.856,,,,,,
31.914,12.88,,,,,,
32.314,12.896,,,,,,
32.714,12.909,,,,,,
33.114,12.922,,,,,,
33.514,12.94,,,,,,
33.914,12.953,,,,,,
34.314,12.961,,,,,,
34.714,12.968,,,,,,
35.114,12.977,,,,,,
35.514,12.993,,,,,,
35.914,13,,,,,,
36.314,13.014,,,,,,
36.714,13.025,,,,,,
37.114,13.03,,,,,,
37.514,13.044,,,,,,
37.914,13.051,,,,,,
38.314,13.057,,,,,,
38.714,13.069,,,,,,
39.114,13.079,,,,,,
39.514,13.089,,,,,,
39.914,13.098,,,,,,
40,13.1,,,,,,
