Row Data #,Volume (mL),E(pH)
001,0.000,8.127
002,0.010,8.121
003,0.047,8.116
004,0.119,8.115
005,0.263,8.117
006,0.548,8.126
007,0.948,8.138
008,1.348,8.157
009,1.748,8.173
010,2.148,8.192
011,2.548,8.207
012,2.948,8.231
013,3.348,8.249
014,3.748,8.272
015,4.148,8.294
016,4.548,8.321
017,4.948,8.348
018,5.348,8.375
019,5.748,8.403
020,6.148,8.434
021,6.548,8.469
022,6.948,8.510
023,7.348,8.549
024,7.748,8.596
025,8.148,8.647
026,8.548,8.698
027,8.948,8.762
028,9.348,8.821
029,9.748,8.922
030,10.148,9.021
031,10.548,9.164
032,10.948,9.351
033,11.312,9.614
034,11.548,9.866
035,11.708,10.075
036,11.838,10.256
037,11.960,10.409
038,12.089,10.551
039,12.230,10.676
040,12.392,10.789
041,12.588,10.899
042,12.826,11.003
043,13.122,11.096
044,13.505,11.210
045,13.905,11.291
046,14.305,11.366
047,14.705,11.428
048,15.105,11.481
049,15.505,11.523
050,15.905,11.560
051,16.305,11.603
052,16.705,11.634
053,17.105,11.664
054,17.505,11.693
055,17.905,11.722
056,18.305,11.745
057,18.705,11.769
058,19.105,11.789
059,19.505,11.810
060,19.905,11.828
061,20.000,11.835
