Row Data #,Volume (mL),E(pH),
1,20,2.945,20
2,20.01,2.947,20.01
3,20.049,2.972,20.049
4,20.117,3.024,20.117
5,20.221,3.095,20.221
6,20.368,3.202,20.368
7,20.549,3.578,20.549
8,20.559,3.599,20.559
9,20.599,3.732,20.599
10,20.65,3.923,20.65
11,20.695,4.265,20.695
12,20.705,4.394,20.705
13,20.715,4.511,20.715
14,20.725,4.629,20.725
15,20.738,4.798,20.738
16,20.751,4.967,20.751
17,20.764,5.098,20.764
18,20.774,5.204,20.774
19,20.787,5.297,20.787
20,20.797,5.369,20.797
21,20.81,5.455,20.81
22,20.82,5.462,20.82
23,20.833,5.563,20.833
24,20.843,5.626,20.843
25,20.853,5.638,20.853
26,20.866,5.715,20.866
27,20.876,5.775,20.876
28,20.887,5.817,20.887
29,20.897,5.854,20.897
30,20.908,5.881,20.908
31,20.921,5.931,20.921
32,20.931,5.938,20.931
33,20.944,5.996,20.944
34,20.954,6.006,20.954
35,20.967,6.06,20.967
36,20.977,6.072,20.977
37,20.99,6.123,20.99
38,21,6.13,21
39,21.013,6.18,21.013
40,21.023,6.189,21.023
41,21.036,6.241,21.036
42,21.046,6.249,21.046
43,21.059,6.288,21.059
44,21.069,6.296,21.069
45,21.082,6.306,21.082
46,21.106,6.373,21.106
47,21.116,6.407,21.116
48,21.14,6.415,21.14
49,21.187,6.499,21.187
50,21.197,6.546,21.197
51,21.229,6.597,21.229
52,21.265,6.645,21.265
53,21.275,6.655,21.275
54,21.311,6.714,21.311
55,21.321,6.754,21.321
56,21.353,6.759,21.353
57,21.389,6.825,21.389
58,21.409,6.867,21.409
59,21.421,6.874,21.421
60,21.457,6.886,21.457
61,21.525,6.97,21.525
62,21.537,7.012,21.537
63,21.58,7.021,21.58
64,21.628,7.089,21.628
65,21.646,7.108,21.646
66,21.694,7.151,21.694
67,21.771,7.218,21.771
68,21.804,7.261,21.804
69,21.832,7.297,21.832
70,21.909,7.341,21.909
71,21.933,7.351,21.933
72,22.01,7.412,22.01
73,22.038,7.453,22.038
74,22.115,7.461,22.115
75,22.264,7.572,22.264
76,22.29,7.631,22.29
77,22.32,7.668,22.32
78,22.359,7.69,22.359
79,22.434,7.738,22.434
80,22.456,7.766,22.456
81,22.531,7.773,22.531
82,22.675,7.873,22.675
83,22.711,7.934,22.711
84,22.742,7.942,22.742
85,22.843,8.012,22.843
86,22.875,8.063,22.875
87,22.934,8.072,22.934
88,23.035,8.154,23.035
89,23.06,8.2,23.06
90,23.153,8.257,23.153
91,23.188,8.303,23.188
92,23.232,8.33,23.232
93,23.325,8.386,23.325
94,23.368,8.437,23.368
95,23.411,8.481,23.411
96,23.443,8.515,23.443
97,23.536,8.577,23.536
98,23.56,8.613,23.56
99,23.653,8.677,23.653
100,23.689,8.733,23.689
101,23.726,8.771,23.726
102,23.819,8.845,23.819
103,23.852,8.894,23.852
104,23.897,8.947,23.897
105,23.933,8.993,23.933
106,24.026,9.078,24.026
107,24.051,9.121,24.051
108,24.144,9.212,24.144
109,24.179,9.271,24.179
110,24.226,9.332,24.226
111,24.291,9.392,24.291
112,24.384,9.502,24.384
113,24.401,9.551,24.401
114,24.46,9.627,24.46
115,24.541,9.714,24.541
116,24.649,9.846,24.649
117,24.771,10.001,24.771
118,24.899,10.12,24.899
119,24.921,10.158,24.921
120,25.009,10.214,25.009
121,25.156,10.344,25.156
122,25.323,10.445,25.323
123,25.39,10.486,25.39
124,25.557,10.542,25.557
125,25.808,10.64,25.808
126,26.128,10.715,26.128
127,26.528,10.88,26.528
128,26.736,10.916,26.736
129,27.136,11.001,27.136
130,27.509,11.057,27.509
131,27.909,11.094,27.909
132,28.309,11.168,28.309
133,28.709,11.204,28.709
134,29.109,11.239,29.109
135,29.509,11.287,29.509
136,29.909,11.309,29.909
137,30.309,11.339,30.309
138,30.709,11.37,30.709
139,31.109,11.393,31.109
140,31.509,11.425,31.509
141,31.909,11.447,31.909
142,32.309,11.469,32.309
143,32.709,11.489,32.709
144,33.109,11.506,33.109
145,33.509,11.522,33.509
146,33.909,11.543,33.909
147,34.309,11.561,34.309
148,34.709,11.575,34.709
149,35.109,11.59,35.109
150,35.509,11.606,35.509
151,35.909,11.619,35.909
152,36.309,11.633,36.309
153,36.709,11.645,36.709
154,37.109,11.661,37.109
155,37.509,11.671,37.509
156,37.909,11.684,37.909
157,38.309,11.696,38.309
158,38.709,11.703,38.709
159,39.109,11.716,39.109
160,39.509,11.723,39.509
161,39.909,11.737,39.909
162,40,11.739,40
